"","cap-shape","cap-surface","cap-color","bruises","odor","gill-attachment","gill-spacing","gill-size","gill-color","stalk-shape","stalk-root","stalk-surface-above-ring","stalk-surface-below-ring","stalk-color-above-ring","stalk-color-below-ring","veil-type","veil-color","ring-number","ring-type","spore-print-color","population","class"
"498","f","y","n","TRUE","a","FALSE","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","e"
"3346","f","y","g","TRUE","n","FALSE","c","b","u","t","b","s","s","w","g","p","w","o","p","k","v","e"
"3204","f","f","e","TRUE","n","FALSE","c","b","p","t","b","s","s","p","w","p","w","o","p","k","v","e"
"3258","f","y","g","TRUE","n","FALSE","c","b","u","t","b","s","s","g","p","p","w","o","p","k","v","e"
"7203","b","f","w","FALSE","n","FALSE","w","b","p","e","?","k","s","w","w","p","w","t","p","w","s","e"
"2018","f","s","y","TRUE","a","FALSE","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","e"
"7623","b","f","g","FALSE","n","FALSE","w","b","g","e","?","s","s","w","w","p","w","t","p","w","n","e"
"5383","f","y","b","TRUE","n","FALSE","c","b","e","e","?","s","s","e","w","p","w","t","e","w","c","e"
"7234","b","s","n","FALSE","n",NA,"c","b","o","e","?","s","s","o","o","p","n","o","p","b","c","e"
"2789","f","s","g","FALSE","n","FALSE","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","e"
"1341","x","s","w","FALSE","n","FALSE","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","e"
"2662","x","f","e","TRUE","n","FALSE","c","b","p","t","b","s","s","g","g","p","w","o","p","n","v","e"
"7642","b","s","g","FALSE","n","FALSE","w","b","p","e","?","k","s","w","w","p","w","t","p","w","s","e"
"1697","f","s","w","FALSE","n","FALSE","w","b","n","t","e","f","f","w","w","p","w","o","e","k","s","e"
"974","x","f","g","FALSE","n","FALSE","w","b","n","t","e","s","f","w","w","p","w","o","e","k","s","e"
"1792","f","s","w","FALSE","n","FALSE","w","b","k","t","e","f","f","w","w","p","w","o","e","k","a","e"
"2411","x","f","g","TRUE","n","FALSE","c","b","p","t","b","s","s","w","w","p","w","o","p","k","v","e"
"2523","f","f","n","TRUE","n","FALSE","c","b","p","t","b","s","s","w","g","p","w","o","p","k","v","e"
"2308","x","f","e","TRUE","n","FALSE","c","b","p","t","b","s","s","w","w","p","w","o","p","k","v","e"
"1358","f","f","w","FALSE","n","FALSE","w","b","p","t","e","s","s","w","w","p","w","o","e","k","a","e"
"3641","f","y","e","TRUE","n","FALSE","c","b","u","t","b","s","s","w","p","p","w","o","p","n","y","e"
"193","b","s","w","TRUE","l","FALSE","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"3758","f","f","e","TRUE","n","FALSE","c","b","n","t","b","s","s","g","g","p","w","o","p","k","v","e"
"3190","f","f","e","TRUE","n","FALSE","c","b","p","t","b","s","s","w","w","p","w","o","p","k","y","e"
"5503","k","y","e","TRUE","n","FALSE","c","b","e","e","?","s","s","e","e","p","w","t","e","w","c","e"
"442","x","y","w","TRUE","l","FALSE","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"2661","x","f","e","TRUE","n","FALSE","c","b","p","t","b","s","s","g","w","p","w","o","p","n","v","e"
"2325","x","f","e","TRUE","n","FALSE","c","b","u","t","b","s","s","w","g","p","w","o","p","n","y","e"
"8047","b","f","g","FALSE","n","FALSE","w","b","g","e","?","k","s","w","w","p","w","t","p","w","n","e"
"487","x","y","w","TRUE","l","FALSE","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"164","f","y","n","TRUE","l","FALSE","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","e"
"2840","x","f","g","TRUE","n","FALSE","c","b","u","t","b","s","s","p","g","p","w","o","p","k","y","e"
"605","b","y","w","TRUE","l","FALSE","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"4088","x","f","g","TRUE","n","FALSE","c","b","u","t","b","s","s","p","g","p","w","o","p","n","v","e"
"292","b","y","y","TRUE","l","FALSE","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","e"
"657","f","f","w","FALSE","n","FALSE","w","b","k","t","e","s","s","w","w","p","w","o","e","n","s","e"
"897","b","y","y","TRUE","a","FALSE","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","e"
"1987","x","s","g","FALSE","n","FALSE","w","b","n","t","e","f","s","w","w","p","w","o","e","n","a","e"
"112","s","f","g","FALSE","n","FALSE","c","n","g","e","e","s","s","w","w","p","w","o","p","k","y","e"
"8108","x","s","n","FALSE","n",NA,"c","b","y","e","?","s","s","o","o","p","o","o","p","n","c","e"
"1432","x","f","n","TRUE","n","FALSE","c","b","p","t","b","s","s","w","w","p","w","o","p","k","v","e"
"2835","x","y","g","TRUE","n","FALSE","c","b","n","t","b","s","s","w","w","p","w","o","p","k","v","e"
"1081","f","f","w","FALSE","n","FALSE","w","b","h","t","e","s","s","w","w","p","w","o","e","k","a","e"
"2282","x","y","n","TRUE","n","FALSE","c","b","u","t","b","s","s","p","g","p","w","o","p","n","y","e"
"7177","x","s","n","FALSE","n",NA,"c","b","n","e","?","s","s","o","o","p","n","o","p","b","c","e"
"2219","x","y","n","TRUE","n","FALSE","c","b","n","t","b","s","s","p","w","p","w","o","p","k","v","e"
"2443","x","f","g","TRUE","n","FALSE","c","b","n","t","b","s","s","p","w","p","w","o","p","k","y","e"
"7460","b","s","n","FALSE","n",NA,"c","b","n","e","?","s","s","o","o","p","o","o","p","y","c","e"
"2072","x","f","g","TRUE","n","FALSE","c","b","n","t","b","s","s","w","g","p","w","o","p","k","v","e"
"258","x","s","w","TRUE","a","FALSE","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","e"
"2199","x","f","g","TRUE","n","FALSE","c","b","n","t","b","s","s","p","p","p","w","o","p","n","v","e"
"3007","f","f","e","TRUE","n","FALSE","c","b","u","t","b","s","s","g","p","p","w","o","p","n","v","e"
"3839","f","y","e","TRUE","n","FALSE","c","b","p","t","b","s","s","p","w","p","w","o","p","n","y","e"
"6990","b","s","n","FALSE","n",NA,"c","b","n","e","?","s","s","o","o","p","n","o","p","n","c","e"
"2054","f","s","w","FALSE","n","FALSE","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","e"
"1864","x","f","g","TRUE","n","FALSE","c","b","w","t","b","s","s","p","w","p","w","o","p","n","y","e"
"2467","f","f","n","TRUE","n","FALSE","c","b","p","t","b","s","s","g","p","p","w","o","p","n","v","e"
"1316","f","f","n","FALSE","n","FALSE","w","b","k","t","e","f","f","w","w","p","w","o","e","n","s","e"
"298","x","f","g","FALSE","n","FALSE","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","e"
"7277","k","s","w","FALSE","n","FALSE","w","b","w","e","?","k","s","w","w","p","w","t","p","w","s","e"
"1201","x","y","w","TRUE","l","FALSE","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"47","x","y","y","TRUE","l","FALSE","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"1279","x","s","w","FALSE","n","FALSE","w","b","h","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1239","x","s","g","FALSE","n","FALSE","w","b","h","t","e","s","f","w","w","p","w","o","e","n","s","e"
"640","x","y","w","TRUE","a","FALSE","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"2384","f","f","n","TRUE","n","FALSE","c","b","u","t","b","s","s","w","g","p","w","o","p","k","y","e"
"607","x","s","g","FALSE","n","FALSE","w","b","n","t","e","s","f","w","w","p","w","o","e","n","s","e"
"531","x","y","n","TRUE","a","FALSE","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","e"
"2023","x","f","n","TRUE","n","FALSE","c","b","u","t","b","s","s","w","g","p","w","o","p","n","y","e"
"5296","x","s","n","TRUE","n","FALSE","c","b","e","e","?","s","s","e","w","p","w","t","e","w","c","e"
"3019","f","y","e","TRUE","n","FALSE","c","b","p","t","b","s","s","g","w","p","w","o","p","n","v","e"
"1812","f","f","n","TRUE","n","FALSE","c","b","n","t","b","s","s","g","w","p","w","o","p","k","v","e"
"1800","f","s","g","FALSE","n","FALSE","w","b","p","t","e","s","f","w","w","p","w","o","e","k","a","e"
"3085","f","y","n","TRUE","n","FALSE","c","b","u","t","b","s","s","g","p","p","w","o","p","k","v","e"
"352","f","y","n","TRUE","a","FALSE","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","e"
"2177","f","f","n","TRUE","n","FALSE","c","b","w","t","b","s","s","g","w","p","w","o","p","k","y","e"
"7272","k","f","w","FALSE","n","FALSE","w","b","p","e","?","s","s","w","w","p","w","t","p","w","s","e"
"2990","f","f","n","TRUE","n","FALSE","c","b","p","t","b","s","s","w","w","p","w","o","p","k","v","e"
"2332","x","y","n","TRUE","n","FALSE","c","b","w","t","b","s","s","g","p","p","w","o","p","k","v","e"
"1464","x","s","w","TRUE","a","FALSE","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","e"
"1039","x","f","g","FALSE","n","FALSE","c","n","k","e","e","s","s","w","w","p","w","o","p","k","y","e"
"2235","f","y","g","TRUE","n","FALSE","c","b","p","t","b","s","s","p","g","p","w","o","p","k","v","e"
"1977","x","f","n","TRUE","n","FALSE","c","b","n","t","b","s","s","p","g","p","w","o","p","n","v","e"
"2447","x","f","n","TRUE","n","FALSE","c","b","w","t","b","s","s","p","g","p","w","o","p","k","v","e"
"8079","b","f","g","FALSE","n","FALSE","w","b","g","e","?","s","s","w","w","p","w","t","p","w","s","e"
"1916","f","y","y","TRUE","l","FALSE","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","e"
"2462","f","f","g","TRUE","n","FALSE","c","b","p","t","b","s","s","w","w","p","w","o","p","k","y","e"
"5758","x","s","b","TRUE","n","FALSE","c","b","w","e","?","s","s","w","w","p","w","t","e","w","c","e"
"898","x","s","w","TRUE","l","FALSE","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","e"
"3345","f","y","e","TRUE","n","FALSE","c","b","n","t","b","s","s","p","p","p","w","o","p","n","v","e"
"7859","x","f","g","FALSE","n","FALSE","w","b","w","e","?","s","s","w","w","p","w","t","p","w","n","e"
"2195","f","f","g","TRUE","n","FALSE","c","b","p","t","b","s","s","p","g","p","w","o","p","k","y","e"
"2545","x","y","g","TRUE","n","FALSE","c","b","w","t","b","s","s","w","p","p","w","o","p","k","y","e"
"1964","f","f","n","FALSE","n","FALSE","w","b","k","t","e","f","s","w","w","p","w","o","e","n","s","e"
"1207","f","f","n","FALSE","n","FALSE","w","b","h","t","e","s","s","w","w","p","w","o","e","k","a","e"
"2634","f","y","g","TRUE","n","FALSE","c","b","w","t","b","s","s","g","g","p","w","o","p","n","v","e"
"5728","f","f","n","FALSE","n","FALSE","w","n","w","e","b","f","s","w","n","p","w","o","e","w","v","e"
"1033","x","f","g","FALSE","n","FALSE","w","b","p","t","e","s","f","w","w","p","w","o","e","n","s","e"
"7033","k","f","w","FALSE","n","FALSE","w","b","g","e","?","k","s","w","w","p","w","t","p","w","n","e"
"2953","x","f","e","TRUE","n","FALSE","c","b","u","t","b","s","s","p","w","p","w","o","p","k","y","e"
"5774","f","y","r","FALSE","n","FALSE","c","n","p","e","?","s","f","w","w","p","w","o","f","h","y","e"
"1683","x","s","y","TRUE","l","FALSE","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"2718","f","f","e","TRUE","n","FALSE","c","b","w","t","b","s","s","g","p","p","w","o","p","n","v","e"
"7747","x","s","w","FALSE","n","FALSE","w","b","p","e","?","k","k","w","w","p","w","t","p","w","n","e"
"7810","b","f","g","FALSE","n","FALSE","w","b","g","e","?","s","k","w","w","p","w","t","p","w","n","e"
"1643","x","f","n","TRUE","n","FALSE","c","b","n","t","b","s","s","g","w","p","w","o","p","n","v","e"
"692","b","y","w","TRUE","l","FALSE","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","e"
"3207","f","y","g","TRUE","n","FALSE","c","b","u","t","b","s","s","p","g","p","w","o","p","k","v","e"
"1879","f","s","n","FALSE","n","FALSE","w","b","h","t","e","s","s","w","w","p","w","o","e","n","s","e"
"236","x","f","w","TRUE","l","FALSE","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","e"
"3300","f","f","e","TRUE","n","FALSE","c","b","n","t","b","s","s","w","p","p","w","o","p","n","v","e"
"2200","f","f","g","TRUE","n","FALSE","c","b","p","t","b","s","s","w","p","p","w","o","p","n","y","e"
"6925","b","f","g","FALSE","n","FALSE","w","b","p","e","?","k","k","w","w","p","w","t","p","w","n","e"
"740","x","f","g","FALSE","n","FALSE","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","e"
"2961","x","f","n","TRUE","n","FALSE","c","b","u","t","b","s","s","g","w","p","w","o","p","k","v","e"
"191","x","f","w","FALSE","n","FALSE","w","b","p","t","e","s","f","w","w","p","w","o","e","k","s","e"
"2939","x","f","n","TRUE","n","FALSE","c","b","u","t","b","s","s","p","w","p","w","o","p","n","y","e"
"2957","x","y","e","TRUE","n","FALSE","c","b","n","t","b","s","s","p","g","p","w","o","p","k","y","e"
"965","f","s","g","FALSE","n","FALSE","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","e"
"3773","f","y","n","TRUE","n","FALSE","c","b","p","t","b","s","s","g","p","p","w","o","p","n","v","e"
"5006","f","y","u","FALSE","n","FALSE","c","n","u","e","?","s","f","w","w","p","w","o","f","h","y","e"
"2252","f","f","n","TRUE","n","FALSE","c","b","w","t","b","s","s","g","p","p","w","o","p","k","y","e"
"2342","x","y","g","TRUE","n","FALSE","c","b","u","t","b","s","s","w","p","p","w","o","p","k","y","e"
"1848","x","y","g","TRUE","n","FALSE","c","b","w","t","b","s","s","g","p","p","w","o","p","n","v","e"
"1053","x","f","g","FALSE","n","FALSE","w","b","p","t","e","s","f","w","w","p","w","o","e","n","a","e"
"1923","x","f","n","FALSE","n","FALSE","w","b","n","t","e","f","s","w","w","p","w","o","e","k","s","e"
"2833","x","f","n","TRUE","n","FALSE","c","b","u","t","b","s","s","w","w","p","w","o","p","n","v","e"
"4807","f","y","e","TRUE","n","FALSE","c","b","e","e","?","s","s","w","e","p","w","t","e","w","c","e"
"2884","x","y","e","TRUE","n","FALSE","c","b","n","t","b","s","s","w","w","p","w","o","p","n","y","e"
"2912","x","y","e","TRUE","n","FALSE","c","b","n","t","b","s","s","g","g","p","w","o","p","n","y","e"
"2652","x","f","e","TRUE","n","FALSE","c","b","w","t","b","s","s","g","g","p","w","o","p","k","v","e"
"1782","f","s","n","FALSE","n","FALSE","w","b","p","t","e","f","f","w","w","p","w","o","e","k","s","e"
"2666","x","y","g","TRUE","n","FALSE","c","b","u","t","b","s","s","p","g","p","w","o","p","k","y","e"
"5738","x","y","b","TRUE","n","FALSE","c","b","w","e","?","s","s","e","e","p","w","t","e","w","c","e"
"7784","b","f","g","FALSE","n","FALSE","w","b","w","e","?","s","k","w","w","p","w","t","p","w","n","e"
"648","b","s","w","TRUE","l","FALSE","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","e"
"330","b","y","w","TRUE","a","FALSE","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"1554","f","f","w","FALSE","n","FALSE","w","b","n","t","e","f","f","w","w","p","w","o","e","k","a","e"
"872","x","s","y","TRUE","l","FALSE","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"1118","f","s","g","FALSE","n","FALSE","w","b","h","t","e","f","f","w","w","p","w","o","e","n","s","e"
"122","x","y","w","TRUE","a","FALSE","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","e"
"2898","f","f","n","TRUE","n","FALSE","c","b","u","t","b","s","s","g","g","p","w","o","p","k","v","e"
"2827","x","f","e","TRUE","n","FALSE","c","b","u","t","b","s","s","p","p","p","w","o","p","k","v","e"
"4110","f","y","g","TRUE","n","FALSE","c","b","w","t","b","s","s","w","g","p","w","o","p","k","y","e"
"2664","x","f","g","TRUE","n","FALSE","c","b","n","t","b","s","s","g","p","p","w","o","p","k","v","e"
"35","b","y","y","TRUE","l","FALSE","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"714","b","y","y","TRUE","l","FALSE","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","e"
"1211","x","s","n","FALSE","n","FALSE","w","b","p","t","e","s","f","w","w","p","w","o","e","k","a","e"
"71","f","f","y","TRUE","l","FALSE","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","e"
"1947","f","f","n","FALSE","n","FALSE","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","e"
"2359","x","y","e","TRUE","n","FALSE","c","b","n","t","b","s","s","p","w","p","w","o","p","k","y","e"
"1659","f","f","w","FALSE","n","FALSE","w","b","h","t","e","s","s","w","w","p","w","o","e","k","s","e"
"7227","x","s","g","FALSE","n","FALSE","w","b","p","e","?","k","s","w","w","p","w","t","p","w","s","e"
"130","b","s","w","TRUE","l","FALSE","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"7693","k","s","n","FALSE","n",NA,"c","b","y","e","?","s","s","o","o","p","n","o","p","n","c","e"
"3630","f","y","g","TRUE","n","FALSE","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","e"
"1183","f","f","g","FALSE","n","FALSE","w","b","h","t","e","f","s","w","w","p","w","o","e","n","a","e"
"711","f","y","y","TRUE","a","FALSE","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","e"
"7938","b","s","n","FALSE","n",NA,"c","b","n","e","?","s","s","o","o","p","n","o","p","o","c","e"
"4899","x","y","r","FALSE","n","FALSE","c","n","p","e","?","s","f","w","w","p","w","o","f","h","y","e"
"804","b","y","y","TRUE","l","FALSE","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","e"
"94","x","y","y","TRUE","l","FALSE","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"3646","f","f","g","TRUE","n","FALSE","c","b","u","t","b","s","s","p","p","p","w","o","p","k","y","e"
"173","x","f","y","TRUE","l","FALSE","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","e"
"3107","f","f","e","TRUE","n","FALSE","c","b","w","t","b","s","s","g","g","p","w","o","p","k","y","e"
"2057","x","f","g","TRUE","n","FALSE","c","b","u","t","b","s","s","g","p","p","w","o","p","n","v","e"
"7326","f","s","n","FALSE","n",NA,"c","b","o","e","?","s","s","o","o","p","n","o","p","y","c","e"
"116","x","y","y","TRUE","l","FALSE","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","e"
"7264","x","f","w","FALSE","n","FALSE","w","b","p","e","?","k","k","w","w","p","w","t","p","w","n","e"
"1612","f","s","w","FALSE","n","FALSE","w","b","p","t","e","f","f","w","w","p","w","o","e","n","a","e"
"2423","x","y","n","TRUE","n","FALSE","c","b","p","t","b","s","s","g","p","p","w","o","p","k","y","e"
"658","b","s","y","TRUE","a","FALSE","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","e"
"3126","f","y","g","TRUE","n","FALSE","c","b","n","t","b","s","s","p","p","p","w","o","p","n","y","e"
"1409","f","s","g","FALSE","n","FALSE","w","b","n","t","e","s","s","w","w","p","w","o","e","k","a","e"
"1340","f","f","w","FALSE","n","FALSE","w","b","k","t","e","f","s","w","w","p","w","o","e","k","s","e"
"1810","x","f","g","FALSE","n","FALSE","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","e"
"588","f","f","n","FALSE","n","FALSE","c","n","n","e","e","s","s","w","w","p","w","o","p","k","y","e"
"3672","f","f","e","TRUE","n","FALSE","c","b","u","t","b","s","s","w","w","p","w","o","p","k","v","e"
"473","f","f","w","TRUE","a","FALSE","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","e"
"1169","f","s","n","FALSE","n","FALSE","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","e"
"1468","x","s","y","TRUE","a","FALSE","w","n","p","t","b","s","s","w","w","p","w","o","p","u","v","e"
"3055","f","y","g","TRUE","n","FALSE","c","b","u","t","b","s","s","g","p","p","w","o","p","n","y","e"
"6998","k","f","w","FALSE","n","FALSE","w","b","p","e","?","k","s","w","w","p","w","t","p","w","s","e"
"363","f","s","n","FALSE","n","FALSE","w","b","k","t","e","f","s","w","w","p","w","o","e","k","a","e"
"340","x","y","n","TRUE","l","FALSE","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","e"
"7419","k","f","g","FALSE","n","FALSE","w","b","p","e","?","k","s","w","w","p","w","t","p","w","n","e"
"1618","f","f","g","FALSE","n","FALSE","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","e"
"376","b","s","w","TRUE","l","FALSE","c","b","n","e","c","s","s","w","w","p","w","o","p","k","n","e"
"1747","x","f","w","FALSE","n","FALSE","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","e"
"120","s","f","n","FALSE","n","FALSE","c","n","k","e","e","s","s","w","w","p","w","o","p","n","y","e"
"3483","f","f","e","TRUE","n","FALSE","c","b","n","t","b","s","s","w","p","p","w","o","p","k","y","e"
"8104","k","s","n","FALSE","n",NA,"c","b","y","e","?","s","s","o","o","p","n","o","p","o","c","e"
"1603","f","f","w","FALSE","n","FALSE","w","b","k","t","e","s","f","w","w","p","w","o","e","n","s","e"
"2234","f","y","e","TRUE","n","FALSE","c","b","p","t","b","s","s","w","g","p","w","o","p","n","v","e"
"1061","f","s","w","FALSE","n","FALSE","w","b","h","t","e","s","f","w","w","p","w","o","e","n","a","e"
"2360","x","y","n","TRUE","n","FALSE","c","b","n","t","b","s","s","p","g","p","w","o","p","n","v","e"
"1005","x","y","n","TRUE","l","FALSE","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","e"
"1675","f","s","n","FALSE","n","FALSE","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","e"
"911","b","s","w","TRUE","l","FALSE","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","e"
"1275","x","f","w","FALSE","n","FALSE","w","b","h","t","e","s","s","w","w","p","w","o","e","k","s","e"
"2267","f","s","w","FALSE","n","FALSE","w","b","h","t","e","s","f","w","w","p","w","o","e","k","a","e"
"3112","f","f","g","TRUE","n","FALSE","c","b","w","t","b","s","s","w","p","p","w","o","p","k","y","e"
"4845","f","y","p","TRUE","n","FALSE","c","b","w","e","?","s","s","e","e","p","w","t","e","w","c","e"
"3670","f","y","e","TRUE","n","FALSE","c","b","p","t","b","s","s","w","g","p","w","o","p","n","y","e"
"732","x","f","n","FALSE","n","FALSE","w","b","n","t","e","f","s","w","w","p","w","o","e","n","s","e"
"451","x","y","w","TRUE","l","FALSE","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","e"
"263","x","s","w","TRUE","a","FALSE","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","e"
"4735","f","f","e","TRUE","n","FALSE","c","b","w","t","b","s","s","w","w","p","w","o","p","k","y","e"
"4418","f","y","n","TRUE","n","FALSE","c","b","u","t","b","s","s","w","g","p","w","o","p","k","v","e"
"3730","f","f","e","TRUE","n","FALSE","c","b","u","t","b","s","s","p","g","p","w","o","p","n","y","e"
"7973","b","s","w","FALSE","n","FALSE","w","b","w","e","?","s","s","w","w","p","w","t","p","w","s","e"
"1377","f","f","w","FALSE","n","FALSE","w","b","k","t","e","s","f","w","w","p","w","o","e","k","s","e"
"713","x","s","w","TRUE","l","FALSE","c","b","w","e","c","s","s","w","w","p","w","o","p","n","s","e"
"1721","f","s","n","FALSE","n","FALSE","w","b","n","t","e","f","f","w","w","p","w","o","e","k","s","e"
"5102","k","y","b","TRUE","n","FALSE","c","b","e","e","?","s","s","w","e","p","w","t","e","w","c","e"
"1738","x","f","n","TRUE","n","FALSE","c","b","u","t","b","s","s","g","p","p","w","o","p","k","v","e"
"2587","x","y","g","TRUE","n","FALSE","c","b","w","t","b","s","s","p","g","p","w","o","p","n","y","e"
"6995","k","s","n","FALSE","n",NA,"c","b","y","e","?","s","s","o","o","p","o","o","p","o","c","e"
"1504","x","f","g","FALSE","n","FALSE","w","b","h","t","e","s","s","w","w","p","w","o","e","k","a","e"
"5654","x","y","n","TRUE","n","FALSE","c","b","e","e","?","s","s","e","e","p","w","t","e","w","c","e"
"7686","x","s","w","FALSE","n","FALSE","w","b","w","e","?","k","s","w","w","p","w","t","p","w","n","e"
"3197","x","f","n","TRUE","n","FALSE","c","b","u","t","b","s","s","w","w","p","w","o","p","k","y","e"
"2758","x","y","n","TRUE","n","FALSE","c","b","n","t","b","s","s","w","p","p","w","o","p","n","v","e"
"1365","x","f","n","FALSE","n","FALSE","w","b","k","t","e","s","f","w","w","p","w","o","e","n","a","e"
"2161","x","f","n","TRUE","n","FALSE","c","b","u","t","b","s","s","w","g","p","w","o","p","k","y","e"
"409","x","s","w","TRUE","a","FALSE","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"3457","f","y","g","TRUE","n","FALSE","c","b","p","t","b","s","s","w","w","p","w","o","p","k","y","e"
"3921","f","y","e","TRUE","n","FALSE","c","b","w","t","b","s","s","p","w","p","w","o","p","k","y","e"
"2954","f","f","n","TRUE","n","FALSE","c","b","n","t","b","s","s","g","p","p","w","o","p","n","y","e"
"2891","x","f","n","FALSE","n","FALSE","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","e"
"583","x","y","w","TRUE","l","FALSE","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","e"
"7301","x","s","g","TRUE","n","FALSE","c","b","w","e","b","s","s","w","w","p","w","t","p","w","y","e"
"2402","f","f","g","TRUE","n","FALSE","c","b","n","t","b","s","s","w","w","p","w","o","p","k","v","e"
"3431","f","y","g","TRUE","n","FALSE","c","b","p","t","b","s","s","p","w","p","w","o","p","n","v","e"
"4177","f","f","g","TRUE","n","FALSE","c","b","w","t","b","s","s","p","w","p","w","o","p","k","y","e"
"66","f","s","n","FALSE","n","FALSE","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","e"
"4096","x","f","e","TRUE","n","FALSE","c","b","w","t","b","s","s","p","p","p","w","o","p","k","v","e"
"2292","x","y","e","TRUE","n","FALSE","c","b","n","t","b","s","s","g","g","p","w","o","p","k","v","e"
"1427","f","s","n","FALSE","n","FALSE","w","b","p","t","e","s","s","w","w","p","w","o","e","n","s","e"
"1575","x","s","y","TRUE","l","FALSE","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","e"
"3387","f","y","g","TRUE","n","FALSE","c","b","p","t","b","s","s","w","w","p","w","o","p","k","v","e"
"3171","f","y","g","TRUE","n","FALSE","c","b","n","t","b","s","s","g","g","p","w","o","p","n","y","e"
"731","f","y","y","TRUE","l","FALSE","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","e"
"3826","f","f","e","TRUE","n","FALSE","c","b","n","t","b","s","s","p","w","p","w","o","p","k","y","e"
"2930","x","f","n","TRUE","n","FALSE","c","b","p","t","b","s","s","w","w","p","w","o","p","n","v","e"
"2071","f","f","g","TRUE","n","FALSE","c","b","n","t","b","s","s","g","p","p","w","o","p","k","y","e"
"7611","b","s","w","FALSE","n","FALSE","w","b","g","e","?","k","s","w","w","p","w","t","p","w","n","e"
"609","x","s","w","TRUE","l","FALSE","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","e"
"878","x","s","w","TRUE","l","FALSE","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","e"
"7741","k","s","w","FALSE","n","FALSE","w","b","p","e","?","k","s","w","w","p","w","t","p","w","n","e"
"1157","x","s","g","FALSE","n","FALSE","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","e"
"696","b","y","w","TRUE","a","FALSE","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","e"
"942","x","f","w","FALSE","n","FALSE","w","b","n","t","e","f","f","w","w","p","w","o","e","k","s","e"
